cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season,class
1372,2,2,10,3.807466754,1545,11,1.804272709,1
1461,2,2,10,3.807466754,1557,11,1.804272709,1
1371,2,2,10,3.612496295,1566,11,1.804272709,1
1261,6,2,10,3.78757181,1566,11,1.804272709,1
1305,6,2,10,3.711971019,1464,11,0.943194554,1
1337,6,2,10,3.775634843,1520,11,0.943194554,1
1300,2,2,10,3.835319677,1563,11,1.804272709,1
1354,6,2,10,3.676160118,1532,11,0.888450288,1
1222,6,2,10,3.771655854,1476,11,0.943194554,1
1085,6,2,10,3.775634843,1581,11,0.888450288,1
1214,6,2,10,3.696055063,1524,11,1.804272709,1
642,6,2,10,0.286061509,1311,11,0.943194554,1
814,4,2,10,1.189292007,1681,11,0.943194554,1
550,4,2,10,0.548674782,1220,11,0.888450288,1
606,6,2,10,0.254229598,1239,11,0.943194554,1
721,6,2,10,0.950552669,1445,11,0.943194554,1
595,6,2,10,0.604380628,1415,11,0.888450288,1
661,4,2,10,0.437263091,1150,11,0.888450288,1
587,6,2,10,0.59642265,1531,11,0.943194554,1
835,6,2,10,0.90678379,1603,11,0.888450288,1
705,4,2,10,0.083133072,1122,11,0.888450288,1
599,4,2,10,0.576527705,1306,11,0.888450288,1
619,4,2,10,0.389515223,1195,11,0.943194554,1
648,6,2,10,0.727729286,1370,11,0.888450288,1
778,6,2,10,0.811288054,1514,11,0.943194554,1
692,6,2,10,0.652128495,1307,11,0.943194554,1
804,4,2,10,0.870972889,1517,11,0.888450288,1
660,6,2,10,0.98238458,1626,11,0.943194554,1
547,6,2,10,0.520821859,1191,11,0.888450288,1
846,6,2,10,1.173376051,1613,11,0.888450288,1
826,6,2,10,1.050027393,1593,11,0.888450288,1
834,6,2,10,1.014216492,1591,11,0.888450288,1
664,4,2,10,0.719771308,1140,11,0.943194554,1
763,6,2,10,0.819246032,1614,11,0.888450288,1
718,6,2,10,0.719771308,1291,11,0.888450288,1
594,6,2,10,0.743645242,1333,11,0.888450288,1
641,6,2,10,0.747624231,1577,11,0.888450288,1
840,4,2,10,0.962489636,1465,11,0.943194554,1
728,4,2,10,1.165418073,1577,11,0.943194554,1
539,6,2,10,0.787414121,1394,11,0.888450288,1
605,4,2,10,0.914741768,1561,11,0.943194554,1
613,6,2,10,0.660086473,1352,11,0.888450288,1
675,6,2,10,0.608359617,1499,11,0.943194554,1
510,6,2,10,0.409410168,1172,11,0.943194554,1
618,6,2,10,0.71181333,1510,11,0.943194554,1
638,6,2,10,0.652128495,1635,11,0.888450288,1
585,4,2,10,0.676002429,1332,11,0.943194554,1
837,6,2,10,0.668044451,1323,11,0.888450288,1
688,6,2,10,0.847098955,1421,11,0.888450288,1
805,6,2,10,0.210460719,1330,11,0.943194554,1
762,6,2,10,0.723750297,1484,11,0.888450288,1
640,6,2,10,0.664065462,1250,11,0.888450288,1
699,4,2,10,0.962489636,1506,11,0.943194554,1
674,6,2,10,0.429305113,1667,11,0.943194554,1
662,6,2,10,1.057985371,1755,11,0.943194554,1
736,6,2,10,0.779456143,1404,11,0.943194554,1
563,6,2,10,0.616317595,1419,11,0.943194554,1
756,6,2,10,1.054006382,1392,11,0.943194554,1
705,4,2,10,1.081859305,1534,11,0.888450288,1
802,6,2,10,1.248976842,1578,11,0.888450288,1
591,6,2,10,0.060110532,1166,11,0.943194554,1
708,4,2,10,0.851077944,1533,11,0.888450288,1
